PATRON#|Activity_Date|LOCATION|I_TYPE
1175251|10-06-2022|hjg|1
1175251|10-06-2022|cjg|1
1421670|10-06-2022|hfn|1
1421670|10-06-2022|hf|1
1050516|10-06-2022|mg|41
1421670|10-06-2022|mmyn|1
1175251|10-06-2022|hjp|1
1175251|10-06-2022|hjk|7
1175251|10-06-2022|hjx|1
1008165|10-06-2022|cve|22
1008165|10-06-2022|mmag|9
1175251|10-06-2022|hjp|1
1175251|10-06-2022|hjp|1
1175251|10-06-2022|hjk|7
1383279|10-06-2022|cjpbb|1
1383279|10-06-2022|cjp|1
1383279|10-06-2022|mjpbb|1
1383279|10-06-2022|cjpbb|1
1383279|10-06-2022|hjp|1
1042731|10-06-2022|mjnd|101
1042731|10-06-2022|mjnd|101
1042731|10-06-2022|mjnd|101
1042731|10-06-2022|mjp|1
1042731|10-06-2022|mjpn|1
1042731|10-06-2022|mjpn|1
1042731|10-06-2022|mjpn|1
1042731|10-06-2022|mjfn|1
1042731|10-06-2022|mjp|1
1042731|10-06-2022|mjp|23
1042731|10-06-2022|mjzfn|1
1042731|10-06-2022|myaf|1
1042731|10-06-2022|mjpn|1
1042731|10-06-2022|mmagj|9
1042731|10-06-2022|mmagj|9
1415232|10-06-2022|cjg|1
1415232|10-06-2022|cjf|1
1415232|10-06-2022|cjk|7
1105401|10-06-2022|mc|1
1383279|10-06-2022|cjpbb|1
1258036|10-06-2022|cjzf|1
1258036|10-06-2022|cjsf|4
1258036|10-06-2022|cjsf|4
1258036|10-06-2022|cjsf|4
1258036|10-06-2022|cjzf|1
1258036|10-06-2022|cejz|1
1258036|10-06-2022|cjzf|1
1422456|10-06-2022|cjp|1
1422456|10-06-2022|cjp|1
1422456|10-06-2022|cjsf|4
1422456|10-06-2022|c3|30
1422456|10-06-2022|cjve|22
1422456|10-06-2022|hjve|22
1422456|10-06-2022|mven|29
1422456|10-06-2022|cjve|22
1422456|10-06-2022|cjve|22
1298027|10-06-2022|z3|30
1315863|10-06-2022|cjx|1
1315863|10-06-2022|cjf|1
1315863|10-06-2022|cjp|1
1315863|10-06-2022|cjk|7
1315863|10-06-2022|cjp|1
1197505|10-06-2022|mjp|1
1197505|10-06-2022|mjf|1
1197505|10-06-2022|mjzf|1
1197505|10-06-2022|mjp|1
1197505|10-06-2022|mjp|1
1197505|10-06-2022|mjzf|1
1197505|10-06-2022|mjp|1
1197505|10-06-2022|mjzf|1
1197505|10-06-2022|mjmy|1
1197505|10-06-2022|mjzf|1
1197505|10-06-2022|mjzf|1
1231677|10-06-2022|c3|30
1178243|10-06-2022|mf|1
1178243|10-06-2022|mf|1
1178243|10-06-2022|mc|1
1178242|10-06-2022|cx|1
1420723|10-06-2022|mjf|1
1426261|10-06-2022|cyaf|1
1426261|10-06-2022|cjp|1
1426261|10-06-2022|cjp|1
1426261|10-06-2022|cjp|1
1426261|10-06-2022|cjp|1
1416666|10-06-2022|m3|30
1416666|10-06-2022|cfn|1
1416666|10-06-2022|mfn|1
1284702|10-06-2022|mf|1
1166387|10-06-2022|cjf|1
1166387|10-06-2022|cjf|1
1420723|10-06-2022|cjpn|1
1373390|10-06-2022|hmag|9
1373390|10-06-2022|hmag|9
1373390|10-06-2022|hx|101
1373390|10-06-2022|hx|101
1141290|10-06-2022|mjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjpn|1
1373390|10-06-2022|hx|101
1141290|10-06-2022|hjx|1
1148946|10-06-2022|cjve|37
1148946|10-06-2022|cjve|29
1148946|10-06-2022|mve|22
1148946|10-06-2022|mjve|22
1148946|10-06-2022|cjve|22
1148946|10-06-2022|cve|22
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
